20140616 020700;1921.75;1922.25;1921.75;1922.25;223
20140616 020800;1922;1922;1922;1922;93
20140616 020900;1922;1922.25;1922;1922;9
20140616 021000;1922.25;1922.25;1922.25;1922.25;12
20140616 021100;1922.25;1922.25;1922.25;1922.25;29
20140616 021200;1922;1922;1922;1922;3
20140616 021400;1922.25;1922.25;1922;1922;6
20140616 021500;1922.25;1922.25;1922;1922;91
20140616 021600;1922;1922;1922;1922;3
20140616 021700;1921.75;1922;1921.75;1922;16
20140616 022000;1922;1922;1922;1922;10
20140616 022100;1922;1922;1922;1922;68
20140616 022200;1922.25;1922.5;1922.25;1922.25;152
20140616 022300;1922.25;1922.25;1922.25;1922.25;1
20140616 022400;1922.5;1922.5;1922.5;1922.5;30
20140616 022500;1922.5;1922.5;1922.25;1922.25;81
20140616 022600;1922.25;1922.25;1922.25;1922.25;54
20140616 022700;1922;1922;1921.75;1921.75;176
20140616 022800;1921.75;1921.75;1921.75;1921.75;31
20140616 022900;1922;1922;1921.75;1922;29
20140616 023000;1922;1922;1922;1922;5
20140616 023100;1922;1922;1922;1922;8
20140616 023200;1921.75;1921.75;1921.75;1921.75;11
20140616 023300;1921.75;1922;1921.75;1922;111
20140616 023400;1922.25;1922.5;1922.25;1922.25;126
20140616 023500;1922.25;1922.25;1922.25;1922.25;3
20140616 023600;1922.25;1922.25;1922.25;1922.25;39
20140616 023700;1922.5;1922.5;1922.5;1922.5;94
20140616 023800;1922.5;1922.5;1922.25;1922.25;110
20140616 023900;1922.25;1922.25;1922.25;1922.25;44
20140616 024000;1922;1922.25;1922;1922.25;20
20140616 024100;1922.25;1922.5;1922.25;1922.5;124
20140616 024300;1922.5;1922.5;1922.5;1922.5;8
20140616 024400;1922.5;1922.75;1922.5;1922.75;44
20140616 024500;1922.75;1922.75;1922.75;1922.75;7
20140616 024600;1922.75;1922.75;1922.5;1922.75;16
20140616 024700;1922.5;1922.75;1922.5;1922.75;4
20140616 024800;1922.75;1922.75;1922.5;1922.5;6
20140616 024900;1922.5;1922.75;1922.5;1922.75;63
20140616 025000;1922.75;1922.75;1922.5;1922.5;8
20140616 025100;1922.75;1922.75;1922.75;1922.75;33
20140616 025200;1922.75;1922.75;1922.75;1922.75;4
20140616 025300;1922.75;1922.75;1922.5;1922.5;17
20140616 025400;1922.75;1922.75;1922.5;1922.5;23
20140616 025500;1922.5;1922.5;1922.5;1922.5;1
20140616 025600;1922.75;1922.75;1922.5;1922.75;67
20140616 025700;1922.5;1922.75;1922.5;1922.75;16
20140616 025800;1922.5;1922.75;1922.5;1922.75;7
20140616 025900;1922.75;1922.75;1922.5;1922.5;96
20140616 030000;1922.5;1922.5;1922.5;1922.5;1
20140616 030100;1922.5;1922.5;1922.25;1922.5;4
20140616 030200;1922.5;1922.75;1922.25;1922.75;114
20140616 030400;1922.75;1922.75;1922.5;1922.5;12
20140616 030500;1922.5;1922.75;1922.5;1922.5;11
20140616 030600;1922.75;1922.75;1922.75;1922.75;2
20140616 030700;1922.75;1922.75;1922.75;1922.75;11
